cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,line_segment,axis_expansion_factor
1,compound,0.0,0.0,0.0,0.0,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,0.215958333333333,-0.0037668066976525,-0.0214029342246136,0.0138693208293086,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,0.431916666666667,-0.0075315243103573,-0.0256982855977327,0.0106352369770181,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,0.647875,-0.0112920637531666,-0.0300049473525225,0.0074208198461892,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,0.863833333333333,-0.0150463359411326,-0.0343210220418602,0.0042283501595948,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,1.07979166666667,-0.0187922517893078,-0.0386445946492848,0.0010600910706691,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,1.29575,-0.0225277222127441,-0.0429737308065588,-0.0020817136189294,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,1.51170833333333,-0.026250658126494,-0.047306474941557,-0.0051948413114309,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,1.72766666666667,-0.0299589704456098,-0.0516408483589764,-0.0082770925322431,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,1.943625,-0.0336505700851435,-0.0559748472569808,-0.0113262929133061,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,2.15958333333333,-0.0373233679601475,-0.0603064406835526,-0.0143402952367424,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,2.37554166666667,-0.0409752749856743,-0.0646335684370169,-0.0173169815343316,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,2.5915,-0.0446042020767756,-0.0689541389159425,-0.0202542652376088,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,2.80745833333333,-0.0482080601485041,-0.0732660269243956,-0.0231500933726126,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,3.02341666666667,-0.0517847601159121,-0.0775670714393258,-0.0260024487924984,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,3.115875,-0.0533072346942824,-0.0794046217247503,-0.0272098476638145,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,3.239375,-0.0553322128940515,-0.0818550733477012,-0.0288093524404018,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,3.45533333333333,-0.0588483293979748,-0.0861277931618796,-0.0315688656340699,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,3.67129166666667,-0.0623310205427343,-0.090382948722582,-0.0342790923628866,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,3.88725,-0.065778197243382,-0.0946182128997482,-0.0369381815870158,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,4.10320833333333,-0.0691877704149704,-0.0988312113024741,-0.0395443295274666,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,4.31916666666667,-0.0725576509725517,-0.1030195200101541,-0.0420957819349493,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,4.535125,-0.0758857498311781,-0.10718066333788,-0.0445908363244762,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,4.75108333333333,-0.0791699779059018,-0.111312111650073,-0.0470278441617305,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,4.96704166666667,-0.0824082461117753,-0.1154112792372191,-0.0494052129863315,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,5.183,-0.0855984653638506,-0.1194755222714634,-0.0517214084562377,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,5.39895833333333,-0.08873854657718,-0.1235021368576622,-0.0539749562966978,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,5.61491666666667,-0.091826400666816,-0.1274883571972838,-0.0561644441363482,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,5.830875,-0.0948599385478105,-0.1314313538832941,-0.0582885232123269,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
