cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,axis_expansion_factor,line_segment
1,compound,0.0,0.0,0.0,0.0,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.028,-0.0012403978465455,-0.001855558437883,-0.0006252372552079,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.056,-0.002480683608778,-0.0037109466593425,-0.0012504205582135,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.084,-0.0037207452023846,-0.0055659944480357,-0.0018754959567336,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.112,-0.0049604705430524,-0.0074205315877813,-0.0025004094983235,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.14,-0.0061997475464683,-0.0092743878626406,-0.0031251072302961,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.168,-0.0074384641283195,-0.011127393056998,-0.0037495351996409,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.196,-0.0086765082042929,-0.0129793769556431,-0.0043736394529427,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.224,-0.0099137676900756,-0.0148301693438513,-0.0049973660362999,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.252,-0.0111501305013546,-0.0166796000074666,-0.0056206609952427,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.28,-0.0123854845538171,-0.018527498732983,-0.0062434703746512,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.308,-0.0136197177631499,-0.0203736953076277,-0.0068657402186721,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.336,-0.0148527180450403,-0.0222180195194443,-0.0074874165706363,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.364,-0.0160843733151751,-0.0240603011573758,-0.0081084454729744,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.392,-0.0173145714892415,-0.0259003700113499,-0.0087287729671331,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.42,-0.0185432004829265,-0.0277380558723632,-0.0093483450934898,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.448,-0.0197701482119172,-0.0295731885325673,-0.009967107891267,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.476,-0.0209953025919005,-0.031405597785355,-0.0105850073984461,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.504,-0.0222185515385636,-0.0332351134254476,-0.0112019896516795,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.532,-0.0234397829675934,-0.0350615652489834,-0.0118180006862034,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.56,-0.0246588847946771,-0.0368847830536065,-0.0124329865357476,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.588,-0.0258757449355016,-0.0387045966385571,-0.013046893232446,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.616,-0.027090251305754,-0.0405208358047628,-0.0136596668067452,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.644,-0.0283022918211213,-0.0423333303549307,-0.0142712532873119,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.672,-0.0295117543972907,-0.0441419100936417,-0.0148815987009396,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.7000000000000001,-0.030718526949949,-0.0459464048274446,-0.0154906490724535,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.728,-0.0319224973947835,-0.0477466443649529,-0.016098350424614,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.756,-0.033123553647481,-0.0495424585169424,-0.0167046487780196,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.784,-0.0343215836237287,-0.0513336770964503,-0.0173094901510072,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.812,-0.0355164752392137,-0.0531201299188758,-0.0179128205595515,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.84,-0.0367081164096228,-0.0549016468020831,-0.0185145860171625,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.868,-0.0378963950506433,-0.056678057566505,-0.0191147325347815,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.896,-0.039081199077962,-0.058449192035249,-0.0197132061206751,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.924,-0.0402624164072662,-0.0602148800342053,-0.020309952780327,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.952,-0.0414399349542427,-0.0619749513921567,-0.0209049185163288,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,0.98,-0.0426136426345787,-0.0637292359408902,-0.0214980493282673,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.008,-0.0437834273639612,-0.0654775635153115,-0.022089291212611,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.036,-0.0449491770580773,-0.0672197639535609,-0.0226785901625937,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
