"cluster","heatwave_type","exposure_percentile","exposure_value","af_percent","ci_low","ci_high","within_common_support"
"1","compound","p25","2.820000000000004","-11.165597394896976","-17.318356835221884","-5.433951490206138","True"
"1","compound","p50","6.379999999999999","-14.40669935619663","-22.183033320964835","-7.259700327468257","True"
"1","compound","p75","15.089166666666667","-13.269716841682545","-19.969160250583748","-6.910761738077184","False"
"1","compound","p90","32.412400000000005","-11.036839875226455","-19.037961547203867","-3.591424297792559","False"
"1","compound","p95","47.91849999999997","-9.07554102557102","-20.32498689591488","1.2003677562296775","False"
"2","compound","p25","2.3125000000000018","-2.199123890955024","-10.502223785014994","5.569870583817787","True"
"2","compound","p50","5.640500000000003","-3.523995707082772","-16.08880842099156","7.779530386337568","True"
"2","compound","p75","12.444583333333338","-4.232744399984689","-16.121847915909438","6.541916942855432","False"
"2","compound","p90","26.848533333333314","-5.71706136886343","-16.61181921249979","4.0930191243442335","False"
"2","compound","p95","39.72850000000002","-7.06222496999831","-17.405298854446546","2.662793563299356","False"
"3","compound","p25","2.530000000000001","-7.1755812867530855","-36.59636929677235","15.750131938904651","True"
"3","compound","p50","4.935000000000002","-10.414914937796738","-48.19437501142722","17.32054628818779","True"
"3","compound","p75","9.816333333333343","-12.12832736228735","-44.005210025609216","12.408095469501465","False"
"3","compound","p90","17.395000000000007","-14.49606253742255","-78.54742371473309","26.3176379665522","False"
"3","compound","p95","22.107774999999982","-15.9935785738168","-118.0963385059006","37.62707419040272","False"
"4","compound","p25","2.530000000000001","-4.721535731730109","-24.849944210863065","12.162067102999616","True"
"4","compound","p50","5.1410000000000124","-8.954505972987326","-36.235344722833226","12.87835233568383","True"
"4","compound","p75","9.660250000000008","-15.7800657548965","-39.37753844199632","4.464832240251691","False"
"4","compound","p90","15.365350000000014","-24.96887839784703","-52.04804690355285","-3.724861377584984","False"
"4","compound","p95","19.369999999999983","-31.851156843037344","-65.15780745479263","-6.2164283581320126","False"
"1","day","p25","1.8170000000000217","-8.440766869427407","-14.733166109972696","-2.57262800614365","True"
"1","day","p50","4.279999999999994","-14.773182706922071","-26.40101465708847","-4.410647964757874","True"
"1","day","p75","9.940000000000012","-15.395222189309443","-28.06905098197544","-4.38917698642792","False"
"1","day","p90","21.80266666666676","-12.682766434812477","-26.67464635031249","-0.6967008293780308","False"
"1","day","p95","34.823375","-9.778860870489424","-27.90948190836907","5.3070064652985165","False"
"2","day","p25","1.75","-1.4383924432793238","-7.097484268325346","3.830569796391458","True"
"2","day","p50","4.230000000000011","-3.0776814433506106","-13.295616144998334","6.054953238007366","True"
"2","day","p75","9.086999999999996","-5.459784379584942","-16.400727871703392","4.301146381711791","False"
"2","day","p90","17.349999999999998","-9.380008370320404","-20.145153571028867","0.4784373409341391","False"
"2","day","p95","26.386999999999997","-13.834473893058409","-26.463228887532367","-2.4887147100654645","False"
"3","day","p25","1.6599999999999966","-10.981553583619185","-31.55291122867209","6.106367661313456","True"
"3","day","p50","3.6900000000000017","-20.33491450815992","-60.34873726419524","9.605223442985016","True"
"3","day","p75","7.257333333333337","-26.189998244104395","-74.2034299979134","8.862709638328429","True"
"3","day","p90","13.34","-29.516359621913924","-78.16634125700912","5.493366730223711","False"
"3","day","p95","18.502999999999982","-32.393381049924955","-86.17730402317815","5.564118365705159","False"
"4","day","p25","1.509999999999998","-5.352805130159899","-13.158310358105153","1.9575372519299328","True"
"4","day","p50","3.3200000000000056","-10.380767067364127","-25.73667897180117","2.9485406273793893","True"
"4","day","p75","6.84916666666665","-15.90607273099016","-37.915831105621095","2.746817779626024","True"
"4","day","p90","12.347433333333353","-21.660445670452376","-53.42173563144928","3.6339112431551817","False"
"4","day","p95","16.660000000000018","-26.34944457981465","-69.94630902989559","5.775895211050575","False"
"1","night","p25","1.5688333333333369","-4.286375662615605","-10.338234867712572","1.6791806592806688","True"
"1","night","p50","3.805","-7.352790188994329","-18.54469061461904","3.201015102930324","True"
"1","night","p75","9.965000000000003","-7.144683692933329","-20.627683492255947","5.497651385475555","False"
"1","night","p90","24.241499999999984","-4.912471443190669","-22.792996258695407","11.243879182665388","False"
"1","night","p95","38.63539999999998","-2.708980616071988","-26.22665149882565","17.29269069082095","False"
"2","night","p25","1.3200000000000005","1.659007584400107","-2.792980498492337","5.772854948885202","True"
"2","night","p50","3.2677500000000035","3.124611963259249","-5.288728384520749","10.536080300782949","True"
"2","night","p75","9.024166666666677","3.859045403272365","-5.82188749097293","12.177428140617025","False"
"2","night","p90","20.205000000000013","4.345443641709023","-5.888950610965479","12.991374784585796","False"
"2","night","p95","33.120650000000005","4.9042490287156575","-6.8806601350406265","14.839811698264942","False"
"3","night","p25","1.2399999999999984","0.998713884921798","-5.073679939873699","6.663285487100531","True"
"3","night","p50","2.79175000000001","1.424203216316977","-9.71009088760508","11.050199245054085","True"
"3","night","p75","6.154999999999998","-0.181977820929502","-15.042386106021649","12.767714632190138","True"
"3","night","p90","12.410750000000007","-5.047668257058757","-36.97717168625701","19.81778962637827","False"
"3","night","p95","18.093850000000035","-9.675295425073084","-65.92491748692592","28.95550289523072","False"
"4","night","p25","1.2600000000000051","5.824807092143014","-0.6764806491446284","11.647702596521157","True"
"4","night","p50","2.8800000000000026","9.481196837574204","-1.7025403074401948","19.14203975437403","True"
"4","night","p75","6.2636249999999976","7.218299396910533","-5.948937461887409","18.46548060744378","True"
"4","night","p90","11.8","-2.5898831675222667","-23.01753059893259","14.391567893256042","False"
"4","night","p95","15.89045","-10.50161385363948","-41.54608607424471","14.01364384709036","False"
