"cluster","heatwave_type","activity_type","bin_left","bin_right","bar_height","total_positive_exposure_trips","display_high","common_support_high","histogram_scale"
"1","compound","ride","0.0","2.591499999999999","0.1507151432896591","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","2.591499999999999","5.182999999999998","0.1372735814584747","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","5.182999999999998","7.774499999999997","0.1010857649945189","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","7.774499999999997","10.365999999999996","0.0710575768648535","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","10.365999999999996","12.957499999999996","0.0584773189956673","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","12.957499999999996","15.548999999999994","0.0360312157435924","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","15.548999999999994","18.140499999999992","0.032990551756538","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","18.140499999999992","20.731999999999992","0.0329644516364775","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","20.731999999999992","23.323499999999992","0.0152033199352717","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","23.323499999999992","25.914999999999992","0.0144594665135459","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","25.914999999999992","28.50649999999999","0.013376311531033","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","28.50649999999999","31.09799999999999","0.0092133423813749","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","31.09799999999999","33.68949999999999","0.0114188025264916","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","33.68949999999999","36.28099999999999","0.0098136451427676","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","36.28099999999999","38.87249999999999","0.0067729811557133","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","38.87249999999999","41.463999999999984","0.0054940752727462","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","41.463999999999984","44.05549999999998","0.0049198726314141","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","44.05549999999998","46.646999999999984","0.0041107689095369","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","46.646999999999984","49.23849999999998","0.0088609907605574","76628.0","51.829999999999984","6.72","share"
"1","compound","ride","49.23849999999998","51.829999999999984","0.0084042386594978","76628.0","51.829999999999984","6.72","share"
"1","compound","run","0.0","2.591499999999999","0.0409641384350368","76628.0","51.829999999999984","6.72","share"
"1","compound","run","2.591499999999999","5.182999999999998","0.0384976770893146","76628.0","51.829999999999984","6.72","share"
"1","compound","run","5.182999999999998","7.774499999999997","0.0284491308660019","76628.0","51.829999999999984","6.72","share"
"1","compound","run","7.774499999999997","10.365999999999996","0.0187920864435976","76628.0","51.829999999999984","6.72","share"
"1","compound","run","10.365999999999996","12.957499999999996","0.0155295714360286","76628.0","51.829999999999984","6.72","share"
"1","compound","run","12.957499999999996","15.548999999999994","0.0094612935219502","76628.0","51.829999999999984","6.72","share"
"1","compound","run","15.548999999999994","18.140499999999992","0.0095526439421621","76628.0","51.829999999999984","6.72","share"
"1","compound","run","18.140499999999992","20.731999999999992","0.0097222947225557","76628.0","51.829999999999984","6.72","share"
"1","compound","run","20.731999999999992","23.323499999999992","0.0043065198099911","76628.0","51.829999999999984","6.72","share"
"1","compound","run","23.323499999999992","25.914999999999992","0.0039541681891736","76628.0","51.829999999999984","6.72","share"
"1","compound","run","25.914999999999992","28.50649999999999","0.0035887665083259","76628.0","51.829999999999984","6.72","share"
"1","compound","run","28.50649999999999","31.09799999999999","0.0025578117659341","76628.0","51.829999999999984","6.72","share"
"1","compound","run","31.09799999999999","33.68949999999999","0.0033277653077204","76628.0","51.829999999999984","6.72","share"
"1","compound","run","33.68949999999999","36.28099999999999","0.0030798141671451","76628.0","51.829999999999984","6.72","share"
"1","compound","run","36.28099999999999","38.87249999999999","0.0022315602651772","76628.0","51.829999999999984","6.72","share"
"1","compound","run","38.87249999999999","41.463999999999984","0.0016443075638147","76628.0","51.829999999999984","6.72","share"
