"cluster","heatwave_type","activity_type","bin_left","bin_right","bar_height","histogram_scale"
"1","compound","ride","0.0","0.7853104166666661","0.019235788484627","share"
"1","compound","ride","0.7853104166666661","1.5706208333333322","0.0577856658140627","share"
"1","compound","ride","1.5706208333333322","2.3559312499999985","0.054679751526857","share"
"1","compound","ride","2.3559312499999985","3.1412416666666645","0.0550060030276139","share"
"1","compound","ride","3.1412416666666645","3.9265520833333305","0.0401550347131596","share"
"1","compound","ride","3.9265520833333305","4.711862499999997","0.0401811348332202","share"
"1","compound","ride","4.711862499999997","5.497172916666663","0.0440048024220911","share"
"1","compound","ride","5.497172916666663","6.282483333333329","0.0264785718014302","share"
"1","compound","ride","6.282483333333329","7.067793749999995","0.0316855457535104","share"
"1","compound","ride","7.067793749999995","7.853104166666661","0.0212324476692592","share"
"1","compound","ride","7.853104166666661","8.638414583333327","0.027744427624367","share"
"1","compound","ride","8.638414583333327","9.423724999999994","0.0223678028918933","share"
"1","compound","ride","9.423724999999994","10.20903541666666","0.0173826799603278","share"
"1","compound","ride","10.20903541666666","10.994345833333323","0.0197316907657775","share"
"1","compound","ride","10.994345833333323","11.779656249999992","0.0185049851229315","share"
"1","compound","ride","11.779656249999992","12.564966666666658","0.0182831341024168","share"
"1","compound","ride","12.564966666666658","13.350277083333324","0.0080649370987106","share"
"1","compound","ride","13.350277083333324","14.13558749999999","0.0088348906404969","share"
"1","compound","ride","14.13558749999999","14.920897916666656","0.0135851124915174","share"
"1","compound","ride","14.920897916666656","15.706208333333322","0.0109751004854622","share"
"1","compound","ride","15.706208333333322","16.49151874999999","0.011014250665553","share"
"1","compound","ride","16.49151874999999","17.276829166666655","0.0070339823563188","share"
"1","compound","ride","17.276829166666655","18.06213958333332","0.0126063579892467","share"
"1","compound","ride","18.06213958333332","18.847449999999988","0.0106096988046145","share"
"1","compound","run","0.0","0.7853104166666661","0.0052983243722921","share"
"1","compound","run","0.7853104166666661","1.5706208333333322","0.0161298741974213","share"
"1","compound","run","1.5706208333333322","2.3559312499999985","0.0144594665135459","share"
"1","compound","run","2.3559312499999985","3.1412416666666645","0.0152555201753928","share"
"1","compound","run","3.1412416666666645","3.9265520833333305","0.0105966487445842","share"
"1","compound","run","3.9265520833333305","4.711862499999997","0.0117842042073393","share"
"1","compound","run","4.711862499999997","5.497172916666663","0.0121365558281568","share"
"1","compound","run","5.497172916666663","6.282483333333329","0.0080388369786501","share"
