"cluster","heatwave_type","display_high","common_support_high","marker_25","marker_50","marker_75","marker_90","y_min","y_max","n_cities","lag_max","show_u","fraction_trips_above_common_support","total_positive_exposure_trips","trip_share_5pct_count"
"1","compound","18.847449999999988","6.72","2.820000000000004","6.379999999999999","15.089166666666667","32.412400000000005","-0.2778093198900647","0.0856554171794287","18","11","True","0.5199143916062013","76628.0","3831.4"
"1","day","12.211500000000015","7.94000000000001","1.8170000000000217","4.279999999999994","9.940000000000012","21.80266666666676","-0.2778093198900647","0.0856554171794287","18","11","True","0.3285885141917434","93646.0","4682.3"
"1","night","12.738000000000042","6.72","1.5688333333333369","3.805","9.965000000000003","24.241499999999984","-0.2778093198900647","0.0856554171794287","18","11","True","0.3730136447863439","35618.0","1780.9"
"2","compound","14.62400000000001","6.72","2.3125000000000018","5.640500000000003","12.444583333333338","26.848533333333314","-0.1787737928332056","0.1575482802062968","14","11","True","0.4769574728946799","41597.0","2079.85"
"2","day","10.715400000000017","7.94000000000001","1.75","4.230000000000011","9.086999999999996","17.349999999999998","-0.1787737928332056","0.1575482802062968","14","11","True","0.2893641083637485","97265.0","4863.25"
"2","night","11.025800000000013","6.72","1.3200000000000005","3.2677500000000035","9.024166666666677","20.205000000000013","-0.1787737928332056","0.1575482802062968","14","11","True","0.3311185747663551","13696.0","684.8000000000001"
"3","compound","11.549600000000002","6.72","2.530000000000001","4.935000000000002","9.816333333333343","17.395000000000007","-0.6177505356605795","0.26615382593344","11","7","True","0.2284623160732337","8903.0","445.15000000000003"
"3","day","8.739999999999984","7.94000000000001","1.6599999999999966","3.6900000000000017","7.257333333333337","13.34","-0.6177505356605795","0.26615382593344","11","7","True","0.1080961346771514","18058.0","902.9000000000001"
"3","night","7.549999999999997","6.72","1.2399999999999984","2.79175000000001","6.154999999999998","12.410750000000007","-0.6177505356605795","0.26615382593344","11","7","True","0.13552091878589","6095.0","304.75"
"4","compound","11.04","6.72","2.530000000000001","5.1410000000000124","9.660250000000008","15.365350000000014","-0.396848999434475","0.27725745831695","20","11","True","0.3177651259287851","10363.0","518.15"
"4","day","8.100000000000012","7.94000000000001","1.509999999999998","3.3200000000000056","6.84916666666665","12.347433333333353","-0.396848999434475","0.27725745831695","20","11","True","0.1263826466076378","37157.0","1857.8500000000001"
"4","night","7.565000000000007","6.72","1.2600000000000051","2.8800000000000026","6.2636249999999976","11.8","-0.396848999434475","0.27725745831695","20","11","True","0.1934072345390898","6856.0","342.8"
