"cluster","heatwave_type","exposure","log_rr","ci_low","ci_high"
"1","compound","0.0","0.0","0.0","0.0"
"1","compound","0.215958333333333","-0.003766806697652524","-0.021402934224613673","0.013869320829308626"
"1","compound","0.431916666666667","-0.0075315243103573175","-0.025698285597732747","0.010635236977018112"
"1","compound","0.647875","-0.01129206375316661","-0.030004947352522515","0.007420819846189294"
"1","compound","0.863833333333333","-0.015046335941132671","-0.0343210220418602","0.004228350159594862"
"1","compound","1.07979166666667","-0.01879225178930783","-0.038644594649284825","0.0010600910706691676"
"1","compound","1.29575","-0.02252772221274415","-0.04297373080655882","-0.0020817136189294726"
"1","compound","1.51170833333333","-0.026250658126494006","-0.04730647494155704","-0.00519484131143097"
"1","compound","1.72766666666667","-0.02995897044560982","-0.05164084835897648","-0.008277092532243163"
"1","compound","1.943625","-0.033650570085143536","-0.055974847256980875","-0.011326292913306196"
"1","compound","2.15958333333333","-0.03732336796014755","-0.060306440683552634","-0.014340295236742465"
"1","compound","2.37554166666667","-0.0409752749856743","-0.06463356843701698","-0.017316981534331612"
"1","compound","2.5915","-0.04460420207677569","-0.0689541389159425","-0.020254265237608884"
"1","compound","2.80745833333333","-0.048208060148504164","-0.07326602692439567","-0.023150093372612663"
"1","compound","3.02341666666667","-0.05178476011591215","-0.07756707143932585","-0.02600244879249844"
"1","compound","3.115875","-0.053307234694282474","-0.07940462172475038","-0.027209847663814568"
"1","compound","3.239375","-0.05533221289405156","-0.08185507334770123","-0.02880935244040189"
"1","compound","3.45533333333333","-0.058848329397974804","-0.08612779316187963","-0.03156886563406998"
"1","compound","3.67129166666667","-0.06233102054273434","-0.09038294872258205","-0.03427909236288662"
"1","compound","3.88725","-0.06577819724338205","-0.0946182128997482","-0.036938181587015895"
"1","compound","4.10320833333333","-0.0691877704149704","-0.09883121130247416","-0.039544329527466636"
"1","compound","4.31916666666667","-0.07255765097255176","-0.10301952001015413","-0.042095781934949394"
"1","compound","4.535125","-0.0758857498311781","-0.10718066333788","-0.044590836324476205"
"1","compound","4.75108333333333","-0.07916997790590183","-0.11131211165007307","-0.04702784416173058"
"1","compound","4.96704166666667","-0.08240824611177536","-0.11541127923721917","-0.04940521298633154"
"1","compound","5.183","-0.08559846536385061","-0.11947552227146344","-0.05172140845623779"
"1","compound","5.39895833333333","-0.08873854657718006","-0.12350213685766226","-0.05397495629669786"
"1","compound","5.61491666666667","-0.09182640066681605","-0.12748835719728388","-0.05616444413634821"
